rowid,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
536,88211,Yera Allon (Pre-Zero Hour),\/wiki\/Yera_Allon_(Pre-Zero_Hour),Public Identity,Good Characters,Purple Eyes,Purple Hair,Female Characters,,Living Characters,55,"1982, May",1982
537,4317,Mongul I (New Earth),\/wiki\/Mongul_I_(New_Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,55,"1980, November",1980
538,2005,Anton Arcane (New Earth),\/wiki\/Anton_Arcane_(New_Earth),Public Identity,Bad Characters,Black Eyes,White Hair,Male Characters,,Deceased Characters,55,"1973, January",1973
539,149411,Randu Singh (New Earth),\/wiki\/Randu_Singh_(New_Earth),,Good Characters,,Black Hair,Male Characters,,Living Characters,55,"1972, September",1972
540,5423,Stel (New Earth),\/wiki\/Stel_(New_Earth),Public Identity,Good Characters,Photocellular Eyes,,Male Characters,,Living Characters,55,"1962, March",1962
541,40601,Judy Walton (New Earth),\/wiki\/Judy_Walton_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,55,"1960, August",1960
542,40595,Nicholas Walton (New Earth),\/wiki\/Nicholas_Walton_(New_Earth),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,55,"1960, August",1960
543,245864,Johnny Peril (New Earth),\/wiki\/Johnny_Peril_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,55,"1947, February",1947
544,164815,Shift (New Earth),\/wiki\/Shift_(New_Earth),Public Identity,Good Characters,Black Eyes,,Male Characters,,Living Characters,54,"2003, August",2003
545,80255,Michael Akins (New Earth),\/wiki\/Michael_Akins_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,54,"2001, January",2001
546,140650,Natt Walls (New Earth),\/wiki\/Natt_Walls_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,54,"1996, August",1996
547,5047,Carol Bucklen (New Earth),\/wiki\/Carol_Bucklen_(New_Earth),,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,54,"1995, April",1995
548,2485,Jared Stevens (New Earth),\/wiki\/Jared_Stevens_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,54,"1994, October",1994
549,2775,Satanus (New Earth),\/wiki\/Satanus_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,54,"1992, August",1992
550,4889,Danny the Street (New Earth),\/wiki\/Danny_the_Street_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,54,"1990, August",1990
551,24090,Alice Spencer (New Earth),\/wiki\/Alice_Spencer_(New_Earth),Public Identity,Good Characters,,White Hair,Female Characters,,Living Characters,54,"1987, May",1987
552,2785,Big Bear (New Earth),\/wiki\/Big_Bear_(New_Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Deceased Characters,54,"1971, March",1971
553,5439,Merlyn (New Earth),\/wiki\/Merlyn_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,54,"1971, November",1971
554,25942,"Arthur Curry, Jr. (New Earth)","\/wiki\/Arthur_Curry,_Jr._(New_Earth)",Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,54,"1965, October",1965
555,51016,Jennifer Pierce (New Earth),\/wiki\/Jennifer_Pierce_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,53,"2008, March",2008
556,4780,Knockout (New Earth),\/wiki\/Knockout_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,53,"1994, February",1994
557,19714,Clifford Baker (New Earth),\/wiki\/Clifford_Baker_(New_Earth),Public Identity,,Green Eyes,Red Hair,Male Characters,,Deceased Characters,53,"1988, September",1988
558,61046,Daniel Chase (New Earth),\/wiki\/Daniel_Chase_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Deceased Characters,53,1987,1987
559,1922,Danton Black (New Earth),\/wiki\/Danton_Black_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,53,"1978, March",1978
560,23000,Kanjar Ro (New Earth),\/wiki\/Kanjar_Ro_(New_Earth),Public Identity,Bad Characters,Yellow Eyes,,Male Characters,,Living Characters,53,"1961, March",1961
561,1892,Lori Zechlin (New Earth),\/wiki\/Lori_Zechlin_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,52,"2005, January",2005
562,40065,Cody Driscoll (New Earth),\/wiki\/Cody_Driscoll_(New_Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,52,"1996, October",1996
563,9049,Helena Kosmatos (New Earth),\/wiki\/Helena_Kosmatos_(New_Earth),Secret Identity,Good Characters,Red Eyes,Blond Hair,Female Characters,,Living Characters,52,"1987, March",1987
564,70553,Kalista (New Earth),\/wiki\/Kalista_(New_Earth),Public Identity,Good Characters,White Eyes,Purple Hair,Female Characters,,Deceased Characters,52,"1981, June",1981
565,11377,Beautiful Dreamer (New Earth),\/wiki\/Beautiful_Dreamer_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,52,"1971, March",1971
566,40599,Biff Bailey (New Earth),\/wiki\/Biff_Bailey_(New_Earth),Public Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,52,"1960, August",1960
567,1923,James Craddock (New Earth),\/wiki\/James_Craddock_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,52,"1947, October",1947
568,11333,Franklin Delano Roosevelt (New Earth),\/wiki\/Franklin_Delano_Roosevelt_(New_Earth),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,52,"1936, March",1936
569,23831,Arkillo (New Earth),\/wiki\/Arkillo_(New_Earth),Public Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,51,"2006, May",2006
570,8883,Katherine Kane (New Earth),\/wiki\/Katherine_Kane_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,51,"2006, June",2006
571,5304,Rex Leech (New Earth),\/wiki\/Rex_Leech_(New_Earth),Public Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,51,"1993, February",1993
572,118190,Jayne Payton (New Earth),\/wiki\/Jayne_Payton_(New_Earth),Public Identity,Neutral Characters,,Red Hair,Female Characters,,Living Characters,51,"1988, October",1988
573,13106,"Artemis, Goddess of the Hunt (New Earth)","\/wiki\/Artemis,_Goddess_of_the_Hunt_(New_Earth)",Public Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,51,"1987, February",1987
574,13072,Andrew Bennett (New Earth),\/wiki\/Andrew_Bennett_(New_Earth),Secret Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,51,"1981, March",1981
575,63305,Machiste (New Earth),\/wiki\/Machiste_(New_Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,51,"1976, April",1976
576,18070,Mark Moonrider (New Earth),\/wiki\/Mark_Moonrider_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,51,"1971, March",1971
577,18074,Serifan (New Earth),\/wiki\/Serifan_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,51,"1971, March",1971
578,2754,Copperhead (New Earth),\/wiki\/Copperhead_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,,Male Characters,,Deceased Characters,51,"1968, July",1968
579,7099,Phillip Mason (New Earth),\/wiki\/Phillip_Mason_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,51,"1959, August",1959
580,4870,Joar Mahkent (New Earth),\/wiki\/Joar_Mahkent_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,51,"1947, October",1947
581,44198,Koryak (New Earth),\/wiki\/Koryak_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,50,"1995, January",1995
582,99957,Lyrl Dox (New Earth),\/wiki\/Lyrl_Dox_(New_Earth),Public Identity,Bad Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,50,"1991, June",1991
583,2002,Lonnie Machin (New Earth),\/wiki\/Lonnie_Machin_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,50,"1989, November",1989
584,35327,Sodam Yat (New Earth),\/wiki\/Sodam_Yat_(New_Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,50,1986,1986
585,127606,Chester Williams (New Earth),\/wiki\/Chester_Williams_(New_Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,50,"1985, December",1985
586,6754,Angela Roth (New Earth),\/wiki\/Angela_Roth_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,50,"1981, January",1981
587,2756,Christopher King (New Earth),\/wiki\/Christopher_King_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,50,"1981, February",1981
588,8810,Mad Harriet (New Earth),\/wiki\/Mad_Harriet_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Green Hair,Female Characters,,Deceased Characters,50,"1972, February",1972
589,18063,Vykin the Black (New Earth),\/wiki\/Vykin_the_Black_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,50,"1971, March",1971
590,2613,Donald Hall (New Earth),\/wiki\/Donald_Hall_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,50,"1968, June",1968
591,4860,"Henry King, Sr. (New Earth)","\/wiki\/Henry_King,_Sr._(New_Earth)",Public Identity,Bad Characters,Blue Eyes,,Male Characters,,Deceased Characters,50,"1943, February",1943
592,112193,Scar (New Earth),\/wiki\/Scar_(New_Earth),Secret Identity,Bad Characters,Black Eyes,,Female Characters,,Deceased Characters,49,"2008, January",2008
593,24463,Jeffrey Graves (New Earth),\/wiki\/Jeffrey_Graves_(New_Earth),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,49,"2007, February",2007
594,39544,Lor-Zod (New Earth),\/wiki\/Lor-Zod_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,49,"2006, December",2006
595,18657,Blaze (New Earth),\/wiki\/Blaze_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,,Living Characters,49,"1990, July",1990
596,19058,Mary Loyd (New Earth),\/wiki\/Mary_Loyd_(New_Earth),Public Identity,,Green Eyes,Black Hair,Female Characters,,Deceased Characters,49,"1989, August",1989
597,4788,Otto von Furth (New Earth),\/wiki\/Otto_von_Furth_(New_Earth),Secret Identity,Bad Characters,Yellow Eyes,,Male Characters,,Deceased Characters,49,"1981, December",1981
598,8808,Bernadeth (New Earth),\/wiki\/Bernadeth_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,49,"1972, February",1972
599,4824,Jay Abrams (New Earth),\/wiki\/Jay_Abrams_(New_Earth),Secret Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,49,"1971, February",1971
600,139909,Mortimer Jibbet (New Earth),\/wiki\/Mortimer_Jibbet_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,49,"1939, April",1939
601,11189,Iolande (New Earth),\/wiki\/Iolande_(New_Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,48,"2006, August",2006
602,21644,Traci Thirteen (New Earth),\/wiki\/Traci_Thirteen_(New_Earth),Public Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,48,"2003, February",2003
603,4803,Yrra Cynril (New Earth),\/wiki\/Yrra_Cynril_(New_Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,48,"1997, February",1997
604,29823,Aristotle Rodor (New Earth),\/wiki\/Aristotle_Rodor_(New_Earth),Public Identity,,Blue Eyes,White Hair,Male Characters,,Living Characters,48,"1987, February",1987
605,28714,Linda Strauss (New Earth),\/wiki\/Linda_Strauss_(New_Earth),Secret Identity,Good Characters,,Blond Hair,Female Characters,,Deceased Characters,48,"1987, July",1987
606,10484,Harold Jordan (New Earth),\/wiki\/Harold_Jordan_(New_Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,48,"1978, January",1978
607,5270,Jonathan Gabrielli II (New Earth),\/wiki\/Jonathan_Gabrielli_II_(New_Earth),Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,48,"1970, October",1970
608,89251,Mona Bennett (New Earth),\/wiki\/Mona_Bennett_(New_Earth),,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,48,"1963, July",1963
609,1963,Hugo Strange (New Earth),\/wiki\/Hugo_Strange_(New_Earth),Public Identity,Bad Characters,Grey Eyes,,Male Characters,,Living Characters,48,"1940, February",1940
610,4826,Joseph Jones (New Earth),\/wiki\/Joseph_Jones_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,47,"1991, January",1991
611,97475,Matthew Ryder (New Earth),\/wiki\/Matthew_Ryder_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,47,"1991, September",1991
612,13715,Keith Kenyon (New Earth),\/wiki\/Keith_Kenyon_(New_Earth),Public Identity,Bad Characters,,,Male Characters,,Living Characters,47,"1965, July",1965
613,2772,Neptune Perkins (New Earth),\/wiki\/Neptune_Perkins_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,47,"1945, August",1945
614,14144,Irene Miller (New Earth),\/wiki\/Irene_Miller_(New_Earth),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,,Living Characters,47,"1940, September",1940
615,139914,Amelia Hunkel (New Earth),\/wiki\/Amelia_Hunkel_(New_Earth),Secret Identity,Good Characters,,,Female Characters,,Living Characters,47,"1939, June",1939
616,5114,Helen Claiborne (New Earth),\/wiki\/Helen_Claiborne_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,46,"1995, June",1995
617,43008,Crystal Brown (New Earth),\/wiki\/Crystal_Brown_(New_Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,46,"1992, August",1992
618,2625,Mary Elizabeth Kane (New Earth),\/wiki\/Mary_Elizabeth_Kane_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,46,1989,1989
619,174421,Mark Scheffer (New Earth),\/wiki\/Mark_Scheffer_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,46,"1988, April",1988
620,61503,Joseph Chilton (New Earth),\/wiki\/Joseph_Chilton_(New_Earth),Public Identity,Bad Characters,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,46,"1987, February",1987
621,2713,Siobhan McDougal (New Earth),\/wiki\/Siobhan_McDougal_(New_Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Female Characters,,Living Characters,46,"1987, December",1987
622,44273,Miya Shimada (New Earth),\/wiki\/Miya_Shimada_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,46,"1984, May",1984
623,9324,Alec Holland (New Earth),\/wiki\/Alec_Holland_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,46,"1972, November",1972
624,6176,Stompa (New Earth),\/wiki\/Stompa_(New_Earth),Public Identity,Bad Characters,,Strawberry Blond Hair,Female Characters,,Living Characters,46,"1972, February",1972
625,14759,Bito Wladon (New Earth),\/wiki\/Bito_Wladon_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,46,"1962, July",1962
626,7567,Duncan Pramble (New Earth),\/wiki\/Duncan_Pramble_(New_Earth),Secret Identity,Bad Characters,Hazel Eyes,,Male Characters,,Living Characters,46,"1960, July",1960
627,7521,Hooty the Owl (New Earth),\/wiki\/Hooty_the_Owl_(New_Earth),,Good Characters,,Brown Hair,Male Characters,,Living Characters,46,"1941, April",1941
628,14509,Poseidon (New Earth),\/wiki\/Poseidon_(New_Earth),Public Identity,Neutral Characters,White Eyes,White Hair,Male Characters,,Living Characters,46,"1940, September",1940
629,34418,Ion (New Earth),\/wiki\/Ion_(New_Earth),Secret Identity,Good Characters,Green Eyes,,,,Deceased Characters,45,"2006, April",2006
630,8339,Ryan Choi (New Earth),\/wiki\/Ryan_Choi_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,45,"2006, August",2006
631,4721,Hunter Zolomon (New Earth),\/wiki\/Hunter_Zolomon_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,45,"2001, November",2001
632,13099,Wendy Jones (New Earth),\/wiki\/Wendy_Jones_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,45,"1984, April",1984
633,42747,Doc (New Earth),\/wiki\/Doc_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,45,"1983, June",1983
634,2749,Arani Desai (New Earth),\/wiki\/Arani_Desai_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,45,"1977, September",1977
635,11730,Duela Dent (Earth-3),\/wiki\/Duela_Dent_(Earth-3),Secret Identity,Neutral Characters,Purple Eyes,Red Hair,Female Characters,,Deceased Characters,45,"1976, August",1976
636,1842,Richard Drakunovski (New Earth),\/wiki\/Richard_Drakunovski_(New_Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,45,"1975, May",1975
637,13333,Calvin Carson (New Earth),\/wiki\/Calvin_Carson_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,45,"1960, August",1960
638,18451,Gregory Sanders (New Earth),\/wiki\/Gregory_Sanders_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,45,"1941, November",1941
639,27819,Mist I (New Earth),\/wiki\/Mist_I_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,45,"1941, October",1941
640,11878,Rodney Gaynor (New Earth),\/wiki\/Rodney_Gaynor_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,45,"1940, January",1940
641,127455,Larfleeze (New Earth),\/wiki\/Larfleeze_(New_Earth),Public Identity,Neutral Characters,Yellow Eyes,Orange Hair,Male Characters,,Living Characters,44,"2008, June",2008
642,2778,Elaine Marsh-Morton (New Earth),\/wiki\/Elaine_Marsh-Morton_(New_Earth),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,44,"1997, January",1997
643,143233,Sean Noonan (New Earth),\/wiki\/Sean_Noonan_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,44,1993,1993
644,19057,John Grayson (New Earth),\/wiki\/John_Grayson_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,44,"1989, August",1989
645,56362,Morgan Edge (New Earth),\/wiki\/Morgan_Edge_(New_Earth),Public Identity,Bad Characters,Blue Eyes,,Male Characters,,Living Characters,44,"1988, January",1988
646,69859,Lara Lor-Van (New Earth),\/wiki\/Lara_Lor-Van_(New_Earth),Public Identity,,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,44,"1986, October",1986
647,60205,Rhosyn Forrest (New Earth),\/wiki\/Rhosyn_Forrest_(New_Earth),Secret Identity,Good Characters,Green Eyes,,Female Characters,,Living Characters,44,"1986, March",1986
648,1999,"William Everett, Sr. (New Earth)","\/wiki\/William_Everett,_Sr._(New_Earth)",Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,44,"1983, July",1983
649,4815,Selinda Flinders (New Earth),\/wiki\/Selinda_Flinders_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,44,"1981, January",1981
650,2758,Victoria Grant (New Earth),\/wiki\/Victoria_Grant_(New_Earth),,Good Characters,,Blond Hair,Female Characters,,Living Characters,44,"1981, February",1981
651,1690,Gavyn (New Earth),\/wiki\/Gavyn_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,44,"1980, January",1980
652,1563,Lisa Snart (New Earth),\/wiki\/Lisa_Snart_(New_Earth),,,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,44,"1977, June",1977
653,4790,Karshon (New Earth),\/wiki\/Karshon_(New_Earth),,Bad Characters,Black Eyes,,Male Characters,,Living Characters,44,"1963, October",1963
654,11952,Jon Valor (New Earth),\/wiki\/Jon_Valor_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,44,"1940, April",1940
655,136770,Zilius Zox (New Earth),\/wiki\/Zilius_Zox_(New_Earth),Public Identity,Bad Characters,Yellow Eyes,,Male Characters,,Deceased Characters,43,"2008, December",2008
656,12347,Zachary Zatara (New Earth),\/wiki\/Zachary_Zatara_(New_Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,43,"2006, May",2006
657,74171,Alura In-Ze (New Earth),\/wiki\/Alura_In-Ze_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,43,"2004, June",2004
658,23377,Axel Walker (New Earth),\/wiki\/Axel_Walker_(New_Earth),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,43,"2002, April",2002
659,27904,Iris West II (New Earth),\/wiki\/Iris_West_II_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,43,"1999, March",1999
660,117847,Borb Borbb (New Earth),\/wiki\/Borb_Borbb_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,43,"1991, August",1991
661,83558,Edward Indelicato (New Earth),\/wiki\/Edward_Indelicato_(New_Earth),,Good Characters,,Brown Hair,Male Characters,,Living Characters,43,"1988, April",1988
662,14421,Xiang Po (New Earth),\/wiki\/Xiang_Po_(New_Earth),Secret Identity,Good Characters,Red Eyes,,Female Characters,,Deceased Characters,43,"1988, January",1988
663,119434,Sandra Knight (New Earth),\/wiki\/Sandra_Knight_(New_Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,43,"1987, June",1987
664,1686,Elizabeth Chapel (New Earth),\/wiki\/Elizabeth_Chapel_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,43,"1985, October",1985
665,22237,Beverly Lewis (New Earth),\/wiki\/Beverly_Lewis_(New_Earth),,,Green Eyes,Red Hair,Female Characters,,Living Characters,43,"1980, May",1980
666,34212,Teekl (New Earth),\/wiki\/Teekl_(New_Earth),Public Identity,Neutral Characters,Red Eyes,Orange Hair,Male Characters,,Living Characters,43,"1973, March",1973
667,89373,Harry Matthews (New Earth),\/wiki\/Harry_Matthews_(New_Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,43,"1972, September",1972
668,7100,Louis Kiyahani (New Earth),\/wiki\/Louis_Kiyahani_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,43,"1963, February",1963
669,3631,Emmaline Brady (New Earth),\/wiki\/Emmaline_Brady_(New_Earth),Public Identity,,Brown Eyes,Brown Hair,Female Characters,,Living Characters,43,"1962, December",1962
670,13989,Dru-Zod II (New Earth),\/wiki\/Dru-Zod_II_(New_Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,43,"1961, April",1961
671,11861,Jock Kellogg (New Earth),\/wiki\/Jock_Kellogg_(New_Earth),Secret Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,43,"1940, July",1940
672,147289,Paco Testas (New Earth),\/wiki\/Paco_Testas_(New_Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,42,"2006, February",2006
673,7587,Mitchell Shelley (New Earth),\/wiki\/Mitchell_Shelley_(New_Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,42,"1997, May",1997
674,48180,"Roy Raymond, Jr. (New Earth)","\/wiki\/Roy_Raymond,_Jr._(New_Earth)",Secret Identity,Good Characters,Black Eyes,Blond Hair,Male Characters,,Living Characters,42,"1997, February",1997
675,6410,Audrey Spears (New Earth),\/wiki\/Audrey_Spears_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,42,"1996, October",1996
676,46871,Nathaniel Kane (New Earth),\/wiki\/Nathaniel_Kane_(New_Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,42,"1992, December",1992
677,19047,Harold Allnut (New Earth),\/wiki\/Harold_Allnut_(New_Earth),Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,42,"1989, December",1989
678,18760,William Henderson (New Earth),\/wiki\/William_Henderson_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,42,"1987, January",1987
679,47507,Helga Jace (New Earth),\/wiki\/Helga_Jace_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Grey Hair,Female Characters,,Deceased Characters,42,"1983, August",1983
680,3899,Edward Raymond (New Earth),\/wiki\/Edward_Raymond_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,42,"1978, April",1978
681,11437,Traya Sutton (New Earth),\/wiki\/Traya_Sutton_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,42,"1978, March",1978
682,119915,Rac Shade (New Earth),\/wiki\/Rac_Shade_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,42,"1977, July",1977
683,9552,Glorious Godfrey (New Earth),\/wiki\/Glorious_Godfrey_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Red Hair,Male Characters,,Living Characters,42,"1971, July",1971
684,23001,Source (New Earth),\/wiki\/Source_(New_Earth),Secret Identity,Neutral Characters,,,,,Living Characters,42,"1971, March",1971
685,1834,William Walker (New Earth),\/wiki\/William_Walker_(New_Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,42,"1971, July",1971
686,27565,Appa Ali Apsa (New Earth),\/wiki\/Appa_Ali_Apsa_(New_Earth),Secret Identity,,Blue Eyes,White Hair,Male Characters,,Deceased Characters,42,"1970, April",1970
687,26747,Rama Kushna (New Earth),\/wiki\/Rama_Kushna_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,42,"1967, October",1967
688,9571,Laura De Mille (New Earth),\/wiki\/Laura_De_Mille_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,42,"1964, March",1964
689,55875,June Robbins (New Earth),\/wiki\/June_Robbins_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,42,"1957, April",1957
