rowid,MOVIE,ACTOR,CHARACTER_NAME,TYPE,BILLING,GENDER
374,Storks,Chris Smith,Dougland,Supporting,11,Male
375,Storks,Nora Lum,Quail,Supporting,12,Female
376,Storks,Ike Barinholtz,Miscellaneous Stork,Supporting,13,Unknown
377,Storks,Jorma Taccone,Miscellaneous Stork,Supporting,14,Unknown
378,Storks,Amanda Lund,Miscellaneous Stork,Supporting,15,Female
379,Storks,Doug Sweetland,Additional Voice,Supporting,16,Male
380,Storks,John Venzon,Additional Voice,Supporting,17,Male
381,Storks,Craig Berry,Additional Voice,Supporting,18,Male
382,Storks,Rossana Bee,Additional Voice,Supporting,19,Female
383,Storks,Charlie Flynn,Additional Voice,Supporting,20,Female
384,Storks,Matt Flynn,Additional Voice,Supporting,21,Male
385,Storks,Jess Fulton,Additional Voice,Supporting,22,Female
386,Storks,Brad Lewis,Additional Voice,Supporting,23,Male
387,Storks,Douglas Schwartz,Additional Voice,Supporting,24,Male
388,Storks,Justin Shelton,Additional Voice,Supporting,25,Male
389,Storks,Frederica Stoller,Additional Voice,Supporting,26,Female
390,Hacksaw Ridge,Andrew Garfield,Desmond T. Ross,Leading,1,Male
391,Hacksaw Ridge,Sam Worthington,Captain Glover,Supporting,2,Male
392,Hacksaw Ridge,Luke Bracey,Smitty Ryker,Supporting,3,Male
393,Hacksaw Ridge,Teresa Palmer,Dorothy Schutte,Supporting,4,Female
394,Hacksaw Ridge,Hugo Weaving,Tom Doss,Supporting,5,Male
395,Hacksaw Ridge,Rachel Griffiths,Bertha Doss,Supporting,6,Female
396,Hacksaw Ridge,Vince Vaughn,Sgt. Howell,Supporting,7,Male
397,Hacksaw Ridge,Richard Pyros,Teach,Supporting,8,Male
398,Hacksaw Ridge,Jacob Warner,James Pinnick,Supporting,9,Male
399,Hacksaw Ridge,Milo Gibson,Lucky Ford,Supporting,10,Male
400,Hacksaw Ridge,Roman Guerriero,Young “Hal” Doss,Supporting,11,Male
401,Hacksaw Ridge,James Lugton,Hiker,Supporting,12,Male
402,Hacksaw Ridge,Kasia Stelmach,Hiker’s Friend,Supporting,13,Female
403,Hacksaw Ridge,Jarin Towney,Teenage Boy,Supporting,14,Male
404,Hacksaw Ridge,Tim McGarry,Local Man,Supporting,15,Male
405,Hacksaw Ridge,Tyler Coppin,Lynchburg Doctor,Supporting,16,Male
406,Hacksaw Ridge,Richard Pratt,Flirting Hospital Soldier,Supporting,17,Male
407,Hacksaw Ridge,Nathaniel Buzolic,Harold “Hal” Doss,Supporting,18,Male
408,Hacksaw Ridge,Laura Buckton,Cinema Kissing Sweetheart,Supporting,19,Female
409,Hacksaw Ridge,Anthony Rizzo,Cinema Kissing Soldier,Supporting,20,Male
410,Hacksaw Ridge,Simon Edds,MP Gibbs,Supporting,21,Male
411,Hacksaw Ridge,Thatcher McMaster,Company B Soldier,Supporting,22,Male
412,Hacksaw Ridge,Charles Jacobs,Private Webb,Supporting,23,Male
413,Hacksaw Ridge,Dennis Kruesler,Sergeant Amos,Supporting,24,Male
414,Hacksaw Ridge,Firass Dirani,Vito Rinnelli,Supporting,25,Unknown
415,Hacksaw Ridge,Michael Sheasby,Tex Lewis,Supporting,26,Male
416,Hacksaw Ridge,Luke Pegler,Hollywood Zane,Supporting,27,Male
417,Hacksaw Ridge,Ben Mingay,Grease Nolan,Supporting,28,Male
418,Hacksaw Ridge,Nico Cortez,Wal Kirzinski,Supporting,29,Male
419,Hacksaw Ridge,Goran Kleut,Ghoul,Supporting,30,Male
420,Hacksaw Ridge,Harry Greenwood,Henry Brown,Supporting,31,Male
421,Hacksaw Ridge,Damien Thomlinson,Ralph Morgan,Supporting,32,Male
422,Hacksaw Ridge,Ben O'Toole,Corporal Jessup,Supporting,33,Male
423,Hacksaw Ridge,Andrew Sears,Private Maguire,Supporting,34,Male
424,Hacksaw Ridge,Jim Robinson,Private Bates,Supporting,35,Male
425,Hacksaw Ridge,Nathan Baird,Private Green,Supporting,36,Male
426,Hacksaw Ridge,Sam Wright,Private Dixon,Supporting,37,Male
427,Hacksaw Ridge,Mikael Koski,Private Giles,Supporting,38,Male
428,Hacksaw Ridge,Troy Pickering,Private Tyler,Supporting,39,Male
429,Hacksaw Ridge,James Moffett,Private Lewis,Supporting,40,Male
430,Hacksaw Ridge,Josh Dean Williams,Private Perry,Supporting,41,Male
431,Hacksaw Ridge,Richard Roxburgh,Colonel Stelzer,Supporting,42,Male
432,Hacksaw Ridge,Andrew Hansch,Bugle Player,Supporting,43,Male
433,Hacksaw Ridge,John Cannon,Corporal Cannon,Supporting,44,Male
434,Hacksaw Ridge,Robert Morgan,Colonel Sangston,Supporting,45,Unknown
435,Hacksaw Ridge,Helmut Bakaitis,Minister,Supporting,46,Unknown
436,Hacksaw Ridge,Georgia Adamson,Receptionist,Supporting,47,Female
437,Hacksaw Ridge,Bill Young,General Musgrove,Supporting,48,Unknown
438,Hacksaw Ridge,Benedict Hardie,Captain Daniels,Supporting,49,Male
439,Hacksaw Ridge,Philip Quast,Judge,Supporting,50,Male
440,Hacksaw Ridge,James Mackay,Prosecutor,Supporting,51,Male
441,Hacksaw Ridge,Ryan Corr,Lieutenant Manville,Supporting,52,Male
442,Hacksaw Ridge,Sam Parsonson,96th Soldier Bob,Supporting,53,Male
443,Hacksaw Ridge,James O'Connell,96th Soldier Page,Supporting,54,Male
444,Hacksaw Ridge,Ori Pfeffer,Irv Schecter,Supporting,55,Unknown
445,Hacksaw Ridge,Craig Reeves,Climbing Soldier,Supporting,56,Male
446,Hacksaw Ridge,Adrian Twigg,Soldier — Death Throes,Supporting,57,Male
447,Hacksaw Ridge,Sean Lynch,Popeye,Supporting,58,Male
448,Hacksaw Ridge,Luke McMahon,Stretcher Bearer,Supporting,59,Male
449,Hacksaw Ridge,Bill Thompson,Wounded Soldier,Supporting,60,Male
450,Hacksaw Ridge,William Temm,Firing Japanese Soldier #1,Supporting,61,Male
451,Hacksaw Ridge,Kazuaki Ono,Firing Japanese Soldier #2,Supporting,62,Male
452,Hacksaw Ridge,Thomas Unger,Stretcher Bearer,Supporting,63,Male
453,Hacksaw Ridge,Eric Taugherbeck,Wounded Private O’Conner,Supporting,64,Male
454,Hacksaw Ridge,Hayden Geens,Wounded Private Blake,Supporting,65,Male
455,Hacksaw Ridge,Edward Ned Law,Rescued Private Horvath,Supporting,66,Male
456,Hacksaw Ridge,Kazuki Yuyama,Corpse with Rats #2,Supporting,67,Male
457,Hacksaw Ridge,Daisuka Takeda,Corpse with Rats #3,Supporting,68,Male
458,Hacksaw Ridge,Raphael Dubois,Corpse with Rats #4,Supporting,69,Male
459,Hacksaw Ridge,Tim Potter,Soldier Hank,Supporting,70,Unknown
460,Hacksaw Ridge,Santo Tripodi,Soldier Carl,Supporting,71,Male
461,Hacksaw Ridge,Matt Nable,Lt. Colonel Cooney,Supporting,72,Male
462,Hacksaw Ridge,Lawrence Brewer,Head Doctor,Supporting,73,Male
463,Hacksaw Ridge,John Batziolas,Rescued Private Schulenberg,Supporting,74,Male
464,Hacksaw Ridge,Nobuaki Shimamoto,Japanese Officer,Supporting,75,Male
465,Hacksaw Ridge,Hioshi Kasuga,Japanese Hanging Soldier,Supporting,76,Male
466,Hacksaw Ridge,Ryuzaburo Naruse,Injured Japanese in Tunnel,Supporting,77,Unknown
467,Hacksaw Ridge,Hisataka Uematsu,Reacting Japanese Soldier #2,Supporting,78,Male
468,Hacksaw Ridge,Adam Bowes,Rescued Wounded Leg Soldier,Supporting,79,Male
469,Hacksaw Ridge,Michael Hennessy,Rescued Private Moran,Supporting,80,Male
470,Hacksaw Ridge,Benjamin McCann,Rescued Private Saareste,Supporting,81,Male
471,Hacksaw Ridge,Yukihiro Nagashima,Rescued Japanese Soldier,Supporting,82,Male
472,Hacksaw Ridge,Takehiro Abe,Japanese Sniper,Supporting,83,Male
473,Hacksaw Ridge,Daniel Thone,Stretcher Bearer,Supporting,84,Male
474,Hacksaw Ridge,Nathan Halls,Private Tillson,Supporting,85,Male
475,Hacksaw Ridge,Nicholas Cowey,Private Gregan,Supporting,86,Male
476,Hacksaw Ridge,Charles Upton,Scared Military Officer,Supporting,87,Male
477,Hacksaw Ridge,Yoji Tatsuta,Japanese General,Supporting,88,Unknown
478,Hacksaw Ridge,Toshiyuki Teramoto,Surrendering Soldier,Supporting,89,Male
479,Hacksaw Ridge,Honsen Haga,Japanese General’s Assistant,Supporting,90,Unknown
480,Star Trek Beyond,John Cho,Hikaru Sulu,Lead Ensemble Member,1,Male
481,Star Trek Beyond,Simon Pegg,Scotty,Lead Ensemble Member,2,Male
482,Star Trek Beyond,Chris Pine,James T. Kirk,Lead Ensemble Member,3,Male
483,Star Trek Beyond,Zachary Quinto,Commander Spock,Lead Ensemble Member,4,Male
484,Star Trek Beyond,Zoe Saldana,Lieutenant Uhura,Lead Ensemble Member,5,Female
485,Star Trek Beyond,Karl Urban,Doctor Leonard Bones McCoy,Lead Ensemble Member,6,Male
486,Star Trek Beyond,Anton Yelchin,Chekov,Lead Ensemble Member,7,Male
487,Star Trek Beyond,Idris Elba,Krall,Lead Ensemble Member,8,Male
488,Star Trek Beyond,Sofia Boutella,Jaylah,Lead Ensemble Member,9,Female
489,Star Trek Beyond,Lydia Wilson,Kalara,Supporting,10,Female
490,Star Trek Beyond,Shohreh Aghdashloo,Commodore Paris (High Command of the Federation),Supporting,11,Female
491,Star Trek Beyond,Ashley Edner,Natalia,Supporting,12,Unknown
492,Star Trek Beyond,Joe Taslim,Manas,Supporting,13,Male
493,Star Trek Beyond,Greg Grunberg,Commodore Finnegan,Supporting,14,Unknown
494,Star Trek Beyond,Melissa Roxburgh,Ensign Syl,Supporting,15,Female
495,Star Trek Beyond,Danny Pudi,Fi'Ja,Supporting,16,Male
496,Star Trek Beyond,Deep Roy,Keenser,Supporting,17,Unknown
497,Star Trek Beyond,Bryce Soderberg,Satine,Supporting,18,Male
498,Star Trek Beyond,Doug Jung,Ben,Supporting,19,Male
499,Star Trek Beyond,Anita Brown,Tyvanna,Supporting,20,Female
500,Star Trek Beyond,Kim Kold,Zavanko,Supporting,21,Male
501,Star Trek Beyond,Shea Whigham,Teenaxi Leader,Supporting,22,Unknown
502,Star Trek Beyond,Jason Matthew Smith,Hendorff,Supporting,23,Male
503,Pete’s Dragon,Bryce Dallas Howard,Grace,Supporting,1,Female
504,Pete’s Dragon,Oakes Fegley,Pete,Leading,2,Male
505,Pete’s Dragon,Wes Bentley,Jack,Supporting,3,Male
506,Pete’s Dragon,Karl Urban,Gavin,Supporting,4,Male
507,Pete’s Dragon,Robert Redford,Meacham,Supporting,5,Male
508,Pete’s Dragon,Oona Laurence,Natalie,Supporting,6,Female
509,Pete’s Dragon,"Isiah Whitlock, Jr",Sheriff Gene Dentler,Supporting,7,Male
510,Pete’s Dragon,Marcus Henderson,Woodrow,Supporting,8,Male
511,Pete’s Dragon,Aaron Jackson,Abner,Supporting,9,Male
512,Pete’s Dragon,Philip Grieve,Bobby,Supporting,10,Male
513,Pete’s Dragon,Steve Barr,Deputy Smalls,Supporting,11,Male
514,Pete’s Dragon,Keagan Carr Fransch,Doctor Marquez,Supporting,12,Male
515,Pete’s Dragon,Jade Valour,Nurse Merriwether,Supporting,13,Female
516,Pete’s Dragon,Augustine Frizzell,Mrs. Swanberg,Supporting,14,Unknown
517,Pete’s Dragon,Francis Biggs,Mr. Swanberg,Supporting,15,Male
518,Pete’s Dragon,Jasper Putt,Freckled Kid,Supporting,16,Male
519,Pete’s Dragon,Esmee Myers,Mom,Supporting,17,Female
520,Pete’s Dragon,Gareth Reeves,Dad,Supporting,18,Male
521,Pete’s Dragon,Levi Alexander,Young Pete,Supporting,19,Male
522,Pete’s Dragon,Jim McLarty,Ranger Wentworth,Supporting,20,Male
523,Pete’s Dragon,Brandie Stephens,Patient's Mom,Supporting,21,Female
524,Pete’s Dragon,Josephine Stephens,Little Girl Patient,Supporting,22,Female
525,Pete’s Dragon,Tai Mackenzie,EMT Staffer,Supporting,23,Male
526,Pete’s Dragon,Ian Harcourt,Deputy West,Supporting,24,Male
527,Pete’s Dragon,Mia Thomas,Jasmine,Supporting,25,Female
528,Pete’s Dragon,Ruby Acevedo,Joy,Supporting,26,Female
529,Pete’s Dragon,Oliver Neil,Jerry,Supporting,27,Male
530,Pete’s Dragon,James Allcock,Jimmy,Supporting,28,Male
531,Pete’s Dragon,Annabelle-Malaika Suess,Jenny,Supporting,29,Female
532,Pete’s Dragon,Olly Presling,Billy Brown,Supporting,30,Male
533,Pete’s Dragon,Jenesis Au-Yeung,Julia,Supporting,31,Female
534,Pete’s Dragon,Daria Ponomaryova,Jane,Supporting,32,Female
535,Pete’s Dragon,Bukhosi Ngwenya,Jandy,Supporting,33,Unknown
536,Pete’s Dragon,William J. Rawbone,Jacob,Supporting,34,Male
537,Pete’s Dragon,Fraser McLeod,Millworker,Supporting,35,Male
538,Pete’s Dragon,Richard Falkner,Millworker,Supporting,36,Male
539,Pete’s Dragon,Jason Fitch,Logger,Supporting,37,Male
540,Pete’s Dragon,David J. Muzzerall,Citation Driver,Supporting,38,Male
541,Pete’s Dragon,Geoff Naylor,School Bus Driver,Supporting,39,Male
542,Pete’s Dragon,Toby Halbrooks,Unfortunate Ambulance Patient,Supporting,40,Male
543,Pete’s Dragon,Jade Healy,Waitress,Supporting,41,Male
544,Sing,Matthew McConaughey,Buster Moon,Lead Ensemble Member,1,Male
545,Sing,Reese Witherspoon,Rosita,Lead Ensemble Member,2,Female
546,Sing,Seth MacFarlane,Mike,Lead Ensemble Member,3,Unknown
547,Sing,Tori Kelly,Meena,Lead Ensemble Member,4,Female
548,Sing,John C. Reilly,Eddie,Lead Ensemble Member,5,Male
549,Sing,Taron Egerton,Johnny,Lead Ensemble Member,6,Male
550,Sing,Scarlett Johansson,Ash,Lead Ensemble Member,7,Female
551,Sing,Jennifer Saunders,Nana,Supporting,8,Female
552,Sing,Jennifer Hudson,Young Nana,Supporting,9,Female
553,Sing,Garth Jennings,Miss Crawly/Additional Voices,Supporting,10,Male
554,Sing,Peter Serafinowicz,Big Daddy,Supporting,11,Unknown
555,Sing,Nick Kroll,Gunter,Supporting,12,Unknown
556,Sing,Beck Bennett,Lance,Supporting,13,Male
557,Sing,Jay Pharoah,Meena’s Grandfather,Supporting,14,Male
558,Sing,Nick Offerman,Norman,Supporting,15,Unknown
559,Sing,Leslie Jones,Meena’s Mother,Supporting,16,Female
560,Sing,Rhea Perlman,Judith,Supporting,17,Female
561,Sing,Laraine Newman,Meena’s Grandmother/Additional Voices,Supporting,18,Female
562,Sing,Adam Buxton,Stan,Supporting,19,Unknown
563,Sing,Brad Morris,Baboon,Supporting,20,Male
564,Sing,Bill Farmer,News Reporter Dog,Supporting,21,Male
565,Sing,Oscar Jennings,Piglet,Supporting,22,Male
566,Sing,Leo Jennings,Piglet,Supporting,23,Male
567,Sing,Caspar Jennings,Piglet,Supporting,24,Male
568,Sing,Asa Jennings,Piglet,Supporting,25,Male
569,Sing,Carlos Alazraqui,Additional Voice,Supporting,26,Unknown
570,Sing,Sara Mann,Additional Voice,Supporting,27,Female
571,Sing,Wes Anderson,Additional Voice,Supporting,28,Male
572,Sing,Igor Khait,Additional Voice,Supporting,29,Male
573,Sing,David Arnott,Additional Voice,Supporting,30,Male
574,Sing,Daamen Krall,Additional Voice,Supporting,31,Male
575,Sing,Bob Bergen,Additional Voice,Supporting,32,Male
576,Sing,Jeremy Maxwell,Additional Voice,Supporting,33,Male
577,Sing,Doug Burch,Additional Voice,Supporting,34,Male
578,Sing,Daniel Mora,Additional Voice,Supporting,35,Male
579,Sing,Britt Burton,Additional Voice,Supporting,36,Unknown
580,Sing,Catherine Cavadini,Additional Voice,Supporting,37,Female
581,Sing,Jason Pace,Additional Voice,Supporting,38,Male
582,Sing,Townsend Coleman,Additional Voice,Supporting,39,Male
583,Sing,Gregory Perler,Additional Voice,Supporting,40,Male
584,Sing,Abby Craden,Additional Voice,Supporting,41,Female
585,Sing,James J. Cummings,Additional Voice,Supporting,42,Male
586,Sing,Jessica Rau,Additional Voice,Supporting,43,Female
587,Sing,John DeMita,Additional Voice,Supporting,44,Unknown
588,Sing,Chris Renaud,Additional Voice,Supporting,45,Male
589,Sing,Marisa De Silva,Additional Voice,Supporting,46,Female
590,Sing,Jessica Rotter,Additional Voice,Supporting,47,Female
591,Sing,Willow Geer,Additional Voice,Supporting,48,Female
592,Sing,Tara Strong,Additional Voice,Supporting,49,Unknown
593,Sing,Jess Harnell,Additional Voice,Supporting,50,Female
594,Sing,Barbara Harris,Additional Voice,Supporting,51,Unknown
595,Sing,Tom Walters,Additional Voice,Supporting,52,Male
596,Sing,Andrew Walton,Additional Voice,Supporting,53,Male
597,Sing,Edgar Wright,Additional Voice,Supporting,54,Male
598,Sing,Robert Taylor,Additional Voice,Supporting,55,Male
599,The Purge: Election Year,Frank Grillo,Sergeant Leo Barnes,Leading,1,Unknown
600,The Purge: Election Year,Elizabeth Mitchell,Charlene 'Charlie' Roan,Leading,2,Female
601,The Purge: Election Year,Mykelti Williamson,Joe Dixon,Leading,3,Male
602,The Purge: Election Year,Edwin Hodge,Dwayne The Stranger,Supporting,4,Male
603,The Purge: Election Year,Betty Gabriel,Laney Rucker,Supporting,5,Female
604,The Purge: Election Year,Joseph Julian Soria,Marcos,Supporting,6,Male
605,The Purge: Election Year,Kyle Secor,Minister Edwidge Owens,Supporting,7,Male
606,The Purge: Election Year,Ethan Phillips,Chief Couper,Supporting,8,Unknown
607,The Purge: Election Year,Raymond J. Barry,Caleb Warrens,Supporting,9,Male
608,The Purge: Election Year,Liza Colon-Zayas,Dawn,Supporting,10,Female
609,The Purge: Election Year,Terry Serpico,Earl Danzinger,Supporting,11,Male
610,The Purge: Election Year,Barry Nolan,Reporter #1,Supporting,12,Male
611,The Purge: Election Year,Adam Cantor,Tall Eric Busmails,Supporting,13,Male
612,The Purge: Election Year,Christopher Baker,Harmon James,Supporting,14,Male
613,The Purge: Election Year,Jared Kemp,Rondo,Supporting,15,Male
614,The Purge: Election Year,Brittany Mirabile,Schoolgirl #1 Freakbride/Kimmy,Supporting,16,Female
615,The Purge: Election Year,Naeem Duren,Rev with Angel in Command Center,Supporting,17,Male
616,The Purge: Election Year,Naheem Garcia,Angel Munoz,Supporting,18,Male
617,The Purge: Election Year,Steven Barkhimer,Drab Suited Man 1,Supporting,19,Male
618,The Purge: Election Year,Tom Kemp,Drab Suited Man 2,Supporting,20,Male
619,The Purge: Election Year,Portland Helmich,Moderator,Supporting,21,Male
620,The Purge: Election Year,Roman Blat,Uncle Sam,Supporting,22,Male
621,The Purge: Election Year,David Aaron Baker,Tommy Roseland,Supporting,23,Unknown
622,The Purge: Election Year,George Lee Miles,Irish Ike Jenkins,Supporting,24,Male
623,The Purge: Election Year,Antoine Coetzee,South African Male,Supporting,25,Male
624,The Purge: Election Year,Drew Cooper,Enormous Gang Member,Supporting,26,Male
625,The Purge: Election Year,Johnnie Mae,Mrs. Sabian,Supporting,27,Female
626,The Purge: Election Year,Tom Paolino,Axe Headed Man,Supporting,28,Male
627,The Purge: Election Year,Emily Petta,Screaming Woman,Supporting,29,Female
628,The Purge: Election Year,Alexander Cook,Masked Man,Supporting,30,Male
629,The Purge: Election Year,Juani Feliz,Schoolgirl #2,Supporting,31,Female
630,The Purge: Election Year,Jamal Peters,Gang Member with Dying Friend,Supporting,32,Male
631,The Purge: Election Year,Matt Walton,Reporter #1,Supporting,33,Male
632,The Purge: Election Year,Thomas Kee,Crazy Man (Self-Purger),Supporting,34,Male
633,The Purge: Election Year,Lonnie Farmer,Man with Bull Horn,Supporting,35,Unknown
634,The Purge: Election Year,Christy Coco,Young Charlie Roan,Supporting,36,Female
635,The Purge: Election Year,Darcie Fisher,Reporter #3,Supporting,37,Female
636,The Purge: Election Year,Alexander Schuler,Demonic Man,Supporting,38,Male
637,The Purge: Election Year,Hank Amos,Mercenary #8,Supporting,39,Male
638,The Purge: Election Year,Lindsey Pires,Dancer #1,Supporting,40,Female
639,The Purge: Election Year,Emily Smith,Dancer #2,Supporting,41,Female
640,The Boss,Melissa McCarthy,Michelle Darnell,Leading,1,Female
641,The Boss,Kristen Bell,Claire,Supporting,2,Female
642,The Boss,Kathy Bates,Ida Marquette,Supporting,3,Female
643,The Boss,Tyler Labine,Mike Beals,Supporting,4,Male
644,The Boss,Timothy Simons,Stephan,Supporting,5,Male
645,The Boss,Peter Dinklage,Renault,Supporting,6,Male
646,The Boss,Ella Anderson,Rachel,Supporting,7,Female
647,The Boss,Cecily Strong,Dana Dandridge,Supporting,8,Female
648,The Boss,Mary Sohn,Jan Keller,Supporting,9,Female
649,The Boss,Kristen Schaal,Scout Leader Sandy,Supporting,10,Unknown
650,The Boss,Eva Peterson,Chrystal,Supporting,11,Female
651,The Boss,Aleandra Newcomb,Mariana,Supporting,12,Female
652,The Boss,Annie Mumolo,Helen,Supporting,13,Female
653,The Boss,Presley Coley,Hannah,Supporting,14,Female
654,The Boss,Ben Falcone,Marty,Supporting,15,Unknown
655,The Boss,Margo Martindale,Sister Aluminata,Supporting,16,Unknown
656,The Boss,Michael McDonald,Bryce Crean,Supporting,17,Male
657,The Boss,Robert Pralgo,SEC Agent Fields,Supporting,18,Male
658,The Boss,Larry Dorf,Guard Kenny,Supporting,19,Male
659,The Boss,Cedric Yarbrough,Tito,Supporting,20,Unknown
660,The Boss,Mark Oliver,Boss,Supporting,21,Male
661,The Boss,Rico Ball,Helicopter Pilot Phil,Supporting,22,Male
662,The Boss,Carla Fisher,Cammy,Supporting,23,Female
663,The Boss,Sharon Conley,Prison Guard,Supporting,24,Female
664,The Boss,Joel Esperanza,Ping,Supporting,25,Male
665,The Boss,Morgan Hinkleman,Kid,Supporting,26,Female
666,The Boss,Steve Mallory,Carl,Supporting,27,Male
667,The Boss,Nick Arapoglou,Building Security Guard,Supporting,28,Male
668,The Boss,Gayle King,Herself,Cameo,29,Female
669,The Boss,Chandler Head,5 Year Old Michelle,Supporting,30,Female
670,The Boss,Vivian Falcone,10 Year Old Michelle,Supporting,31,Female
671,The Boss,Isabella Amara,15 Year Old Michelle,Supporting,32,Female
672,The Boss,Damon Jones,Waiter,Supporting,33,Male
673,The Boss,Faheem Najm,Himself,Cameo,34,Male
674,The Boss,Parker Allen,Darling at Fight,Supporting,35,Unknown
675,The Boss,Devon Li,Darling at Fight,Supporting,36,Unknown
676,The Boss,Allison Williams,1975 Mom,Supporting,37,Female
677,The Magnificent Seven,Denzel Washington,Chisolm,Lead Ensemble Member,1,Male
678,The Magnificent Seven,Chris Pratt,Josh Faraday,Lead Ensemble Member,2,Male
679,The Magnificent Seven,Ethan Hawke,Goodnight Robicheaux,Lead Ensemble Member,3,Male
680,The Magnificent Seven,Vincent D'Onofrio,Jack Horne,Lead Ensemble Member,4,Male
681,The Magnificent Seven,Byung-hun Lee,Billy Rocks,Lead Ensemble Member,5,Male
682,The Magnificent Seven,Manuel Garcia Rulfo,Vasquez,Lead Ensemble Member,6,Male
683,The Magnificent Seven,Martin Sensmeier,Red Harvest,Lead Ensemble Member,7,Male
684,The Magnificent Seven,Peter Sarsgaard,Bartholomew Bogue,Supporting,8,Male
685,The Magnificent Seven,Haley Bennett,Emma Cullen,Supporting,9,Unknown
686,The Magnificent Seven,Luke Grimes,Teddy Q,Supporting,10,Male
687,The Magnificent Seven,Matt Bomer,Matthew Cullen,Supporting,11,Male
688,The Magnificent Seven,Jonathan Joss,Denali,Supporting,12,Male
689,The Magnificent Seven,Cam Gigandet,McCann,Supporting,13,Male
690,The Magnificent Seven,Emil Beheshti,Maxwell,Supporting,14,Male
691,The Magnificent Seven,Mark Ashworth,Preacher,Supporting,15,Male
692,The Magnificent Seven,Billy Slaughter,Josiah,Supporting,16,Male
693,The Magnificent Seven,Dodge Prince,Anthony,Supporting,17,Male
694,The Magnificent Seven,Matthew Posey,Hank Stoner,Supporting,18,Male
695,The Magnificent Seven,Carrie Lazar,Leni Frankel,Supporting,19,Female
696,The Magnificent Seven,Jody Mullins,Caleb Frankel,Supporting,20,Male
697,The Magnificent Seven,Clint James,Fenton,Supporting,21,Male
698,The Magnificent Seven,Dane Rhodes,Sheriff Harp,Supporting,22,Male
699,The Magnificent Seven,Ritchie Montgomery,Gavin David,Supporting,23,Unknown
700,The Magnificent Seven,Sean Bridgers,Fanning,Supporting,24,Male
701,The Magnificent Seven,William Lee Scott,Moody,Supporting,25,Male
702,The Magnificent Seven,David Kallaway,Turner/Blacksmith,Supporting,26,Male
703,The Magnificent Seven,Griff Furst,Phillips,Supporting,27,Male
704,The Magnificent Seven,Alix Angelis,Clara Winthrop (Teacher),Supporting,28,Female
705,The Magnificent Seven,Sean Boyd,Topper,Supporting,29,Unknown
706,The Magnificent Seven,Rob Mello,Mine Paymaster,Supporting,30,Male
707,The Magnificent Seven,Walker Babington,Dicky,Supporting,31,Male
708,The Magnificent Seven,"Thomas Blake, Jr.",Earl,Supporting,32,Male
709,The Magnificent Seven,Ryan Brown,Ken Pigeon,Supporting,33,Male
710,The Magnificent Seven,Derek Lacasa,Len Pigeon,Supporting,34,Male
711,The Magnificent Seven,John Wylie,Station Master,Supporting,35,Male
712,The Magnificent Seven,Chad Randall,Bartender/Powder Dan,Supporting,36,Male
713,The Magnificent Seven,Kevin Wayne,Monday Durant,Supporting,37,Male
714,The Magnificent Seven,Wally Welch,Sheriff,Supporting,38,Male
715,The Magnificent Seven,Ed Lowry,Stablemaster,Supporting,39,Male
716,The Magnificent Seven,David Manzanares,Referee/Eddy,Supporting,40,Male
717,The Magnificent Seven,Dylan Kenin,Cowboy,Supporting,41,Unknown
718,The Magnificent Seven,Kevin Wiggins,Another Cowboy,Supporting,42,Unknown
719,The Magnificent Seven,Jackson Beals,One Eyed Lucas,Supporting,43,Male
720,The Magnificent Seven,Miles Doleac,Faraday Card Game #2,Supporting,44,Male
721,The Magnificent Seven,Heath Lemme,Heath,Supporting,45,Male
722,The Magnificent Seven,Charles Bickham,Rose Creek Boy,Supporting,46,Male
723,The Magnificent Seven,Gregory Chase Williams,Undertaker's Assistant,Supporting,47,Male
724,The Magnificent Seven,Fionn Camp,Rose Creek Girl,Supporting,48,Female
725,Zootopia,Ginnifer Goodwin,Judy Hoops,Leading,1,Female
726,Zootopia,Jason Bateman,Nick Wilde,Leading,2,Male
727,Zootopia,Shakira,Gazelle,Supporting,3,Female
728,Zootopia,Idris Elba,Chief Bogo,Supporting,4,Male
729,Zootopia,J.K. Simmons,Mayor Leodore Lionheart,Supporting,5,Male
730,Zootopia,Nate Torrence,Benjamin Clawhauser,Supporting,6,Unknown
731,Zootopia,Jenny Slate,Assistant Mayor Bellwether,Supporting,7,Female
732,Zootopia,Tommy Chong,Yax the Yak,Supporting,8,Male
733,Zootopia,Octavia Spencer,Mrs. Otterton,Supporting,9,Female
734,Zootopia,Bonnie Hunt,Bonnie Hoops,Supporting,10,Female
735,Zootopia,Don Lake,Stu Hoops,Supporting,11,Unknown
736,Zootopia,Alan Tudyk,Weaselton,Supporting,12,Male
737,Zootopia,Tommy Lister,Finnick,Supporting,13,Male
738,Zootopia,Raymond Persi,Flash,Supporting,14,Male
739,Zootopia,Katie Lowes,"Badger Doctor, Dr. Madge Honeybadger",Supporting,15,Female
740,Zootopia,Jesse Corti,Mr. Manchas,Supporting,16,Unknown
741,Zootopia,John DiMaggio,Jery Jumbreaux Jr.,Supporting,17,Male
742,Zootopia,Phil Johnston,Gideon Grey,Supporting,18,Male
743,Zootopia,Fuschia,Drill Sergeant,Supporting,19,Unknown
744,Zootopia,Della Saba,Young Hopps,Supporting,20,Unknown
745,Zootopia,Maurice LaMarche,Mr. Big,Supporting,21,Unknown
746,Zootopia,Gita Reddy,Nangi,Supporting,22,Female
